Month/Year,CPI
01/2020,-0.1
02/2020,-0.2
03/2020,0.0
04/2020,-0.1
05/2020,0.0
06/2020,-0.2
07/2020,0.1
08/2020,0.1
09/2020,-0.2
10/2020,-0.1
11/2020,-0.3
12/2020,-0.2
01/2021,0.5
02/2021,-0.1
03/2021,0.1
04/2021,-0.8
05/2021,0.3
06/2021,0.1
07/2021,0.2
08/2021,0.0
09/2021,0.4
10/2021,-0.2
11/2021,0.2
12/2021,0.0
01/2022,0.3
02/2022,0.4
03/2022,0.4
04/2022,0.4
05/2022,0.3
06/2022,0.0
07/2022,0.5
08/2022,0.4
09/2022,0.4
10/2022,0.6
11/2022,0.2
12/2022,0.2
01/2023,0.5
02/2023,-0.6
03/2023,0.4
04/2023,0.6
05/2023,0.1
06/2023,0.1
07/2023,0.5
08/2023,0.3
09/2023,0.3
10/2023,0.9
11/2023,-0.2
12/2023,-0.1
01/2024,0.1
02/2024,0.0
03/2024,0.3
04/2024,0.4
05/2024,0.4
06/2024,0.1
07/2024,0.4
08/2024,0.5
09/2024,-0.3
10/2024,0.6
11/2024,0.4
12/2024,0.6
01/2025,0.5
02/2025,-0.4
03/2025,0.3
