Month/Year,CPI
01/2020,1.23
02/2020,-0.17
03/2020,-0.72
04/2020,-1.54
05/2020,-0.03
06/2020,0.66
07/2020,0.4
08/2020,0.07
09/2020,0.12
10/2020,0.09
11/2020,-0.01
12/2020,0.1
01/2021,0.06
02/2021,1.52
03/2021,-0.27
04/2021,-0.04
05/2021,0.16
06/2021,0.19
07/2021,0.62
08/2021,0.25
09/2021,-0.62
10/2021,-0.2
11/2021,0.32
12/2021,-0.18
01/2022,0.19
02/2022,1.0
03/2022,0.7
04/2022,0.18
05/2022,0.38
06/2022,0.69
07/2022,0.4
08/2022,0.01
09/2022,0.4
10/2022,0.15
11/2022,0.39
12/2022,-0.01
01/2023,0.52
02/2023,0.45
03/2023,-0.23
04/2023,-0.34
05/2023,0.01
06/2023,0.27
07/2023,0.45
08/2023,0.88
09/2023,1.08
10/2023,0.08
11/2023,0.25
12/2023,0.12
01/2024,0.31
02/2024,1.04
03/2024,-0.23
04/2024,0.07
05/2024,0.05
06/2024,0.17
07/2024,0.48
08/2024,0.0
09/2024,0.29
10/2024,0.33
11/2024,0.13
12/2024,0.29
01/2025,0.98
02/2025,0.34
03/2025,-0.03
04/2025,0.07
05/2025,0.16
06/2025,0.48
